Date,Code
2/13/2020 12:46:09 PM,Alarm 5.12 UNLOADCONV TOPDRIVER2 SCREW NOT FED
2/13/2020 12:39:26 PM,Alarm 2.25 LIFT LINER LOCATE NOT ADVANCED
2/13/2020 12:27:25 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/13/2020 12:25:07 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/13/2020 11:23:19 AM,Alarm 1.10 UNLOAD ROBOT FAULT
2/13/2020 11:23:19 AM,Alarm 1.7 WRAPPER ROBOT FAULT
2/13/2020 10:53:44 AM,Alarm 1.10 UNLOAD ROBOT FAULT
2/13/2020 10:53:44 AM,Alarm 1.7 WRAPPER ROBOT FAULT
2/13/2020 10:20:33 AM,Alarm 1.12 VSD 227 FAULT
2/13/2020 10:19:57 AM,Alarm 1.10 UNLOAD ROBOT FAULT
2/13/2020 10:19:57 AM,Alarm 1.7 WRAPPER ROBOT FAULT
2/13/2020 10:12:23 AM,Alarm 1.13 VSD 234 FAULT
2/13/2020 2:35:38 PM,Alarm 5.1 LIFT TOPDRIVER1 SCREW NOT FED
2/13/2020 2:26:22 PM,Alarm 4.18 UNLOAD CONY CLAMP NOT ADVANCED
2/13/2020 2:26:05 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/13/2020 2:26:05 PM,Alarm 5.1 LIFT TOPDRIVER1 SCREW NOT FED
2/13/2020 1:40:50 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/13/2020 12:51:54 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/13/2020 12:46:09 PM,Alarm 5.12 UNLOADCONV TOPDRIVER2 SCREW NOT FED
2/13/2020 12:39:26 PM,Alarm 2.25 LIFT LINER LOCATE NOT ADVANCED
2/13/2020 12:27:25 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/13/2020 12:25:07 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/13/2020 11:23:19 AM,Alarm 1.10 UNLOAD ROBOT FAULT
2/13/2020 11:23:19 AM,Alarm 1.7 WRAPPER ROBOT FAULT
2/13/2020 10:53:44 AM,Alarm 1.10 UNLOAD ROBOT FAULT
2/13/2020 10:53:44 AM,Alarm 1.7 WRAPPER ROBOT FAULT
2/13/2020 10:20:33 AM,Alarm 1.12 VSD 227 FAULT
2/13/2020 10:19:57 AM,Alarm 1.10 UNLOAD ROBOT FAULT
2/13/2020 10:19:57 AM,Alarm 1.7 WRAPPER ROBOT FAULT
2/13/2020 10:12:23 AM,Alarm 1.13 VSD 234 FAULT
2/13/2020 10:12:23 AM,Alarm 1.12 VSD 227 FAULT
2/13/2020 10:07:35 AM,Alarm 1.10 UNLOAD ROBOT FAULT
2/13/2020 10:07:35 AM,Alarm 1.7 WRAPPER ROBOT FAULT
2/13/2020 9:43:58 AM,Alarm 2.25 LIFT LINER LOCATE NOT ADVANCED
2/13/2020 9:43 AM,Alarm 2.25 LIFT LINER LOCATE NOT ADVANCED
2/13/2020 9:43 AM,Alarm 2.25 LIFT LINER LOCATE NOT ADVANCED
2/13/2020 9:42 AM,Alarm 1.13 VSD 234 FAULT
2/13/2020 9:42 AM,Alarm 1.12 VSD 227 FAULT
2/13/2020 9:41 AM,Alarm 2.25 LIFT LINER LOCATE NOT ADVANCED
2/13/2020 9:39 AM,Alarm 3.16 LIFT BTM VAC NOT RETURNED
2/13/2020 9:38 AM,Alarm 1.13 VSD 234 FAULT
2/13/2020 9:38 AM,Alarm 1.12 VSD 227 FAULT
2/13/2020 9:37 AM,Alarm 2.25 LIFT LINER LOCATE NOT ADVANCED
2/13/2020 9:36 AM,Alarm 2.25 LIFT LINER LOCATE NOT ADVANCED
2/13/2020 9:36 AM,Alarm 2.25 LIFT LINER LOCATE NOT ADVANCED
2/13/2020 9:30 AM,Alarm 1.10 UNLOAD ROBOT FAULT
2/13/2020 9:30 AM,Alarm 1.7 WRAPPER ROBOT FAULT
2/13/2020 9:27 AM,Alarm 2.25 LIFT LINER LOCATE NOT ADVANCED
2/19/2020 2:01:07 PM,Alarm 1.1 ESTOP SAFETY NOT OK
2/19/2020 2.01:07 PM,Alarm 1.18 DISCHARGE LIGHT CURTAIN NOT OK
2/19/2020 1:53:56 PM,Alarm 1.1 ESTOP SAFETY NOT OK
2/19/2020 1:53:56 PM,Alarm 1.18 DISCHARGE LIGHT CURTAN NOT OK
2/19/2020 1:01:38 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 12:59:09 PM,Alarm 2.21 LET CYCLE ZPAN NOT CLEAR
2/19/2020 11:48:47 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 11:44:55 AM,Alarm 2.21 LET CYCLE ZPAN NOT CLEAR
2/19/2020 11:40.40 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 11:39:55 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/19/2020 11:34:53 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 11:34:02 AM,Alarm 2.21 LET CYCLE ZPAN NOT CLEAR
2/19/2020 11:28:57 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 11:28:20 AM,Alarm 2.21 LET CYCLE ZPAN NOT CLEAR
2/19/2020 11:24:14 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 11:24:02 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/19/2020 11:22:24 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 11:22:10 AM,Alarm 2.21 LET CYCLE ZPAN NOT CLEAR
2/19/2020 11:14:51 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 11:13:11 AM,Alarm 3.1 LET SIDE CLAMP NOT ADVANCED
2/19/2020 10:55:22 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 10:38:02 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 10:37:49 AM,Alarm 3.1 LIFT SIDE CLAMP NOT ADVANCED
2/19/2020 10:37:14 AM,Alarm 1.13 VSD 234 FAULT
2/19/2020 10:37:14 AM,Alarm 1.12 VSD 227 FAULT
2/19/2020 10:36:34 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 10:36:17 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/19/2020 10:34:03 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 10:33:40 AM,Alarm 3.1 LIFT SIDE CLAMP NOT ADVANCED
2/19/2020 10:31:39 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 10:31:22 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/19/2020 10:27:42 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 10:24:45 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 10:24:23 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/19/2020 10:21:54 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 10:21:49 AM,Alarm 3.23 LIFT TOP VAC NOT ENABLED
2/19/2020 10:20:59 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 10:16:20 AM,Alarm 1.2 FENCE SAFETY NOT OK.
2/19/2020 10:13:50 AM,Alarm 1.18 DISCHARGE LIGHT CURTAIN NOT OK
2/19/2020 10:11:04 AM,Alarm 1.16 WRAPPER INFEED LIGHTCURTAIN NOT OK
2/19/2020 10:07:25 AM,Alarm 1.1 ESTOP SAFETY NOT OK
2/19/2020 10:00:52 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 10:00:14 AM,Alarm 3.1 LIFT SIDE CLAMP NOT ADVANCED
2/19/2020 9:57:10 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 9:56:49 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/19/2020 9:16:19 AM,Alarm 5.11 UNLOADCONV TOPDRIVER1 SCREW NOT FED
2/19/2020 9:03:58 AM,Alarm 1.1 ESTOP SAFETY NOT OK
2/19/2020 9:02:37 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/19/2020 9:02:23 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
